file,info,total,!,",",.,?,a,aby,albo,ale,ani,aż,bardzo,bez,bo,by,choć,co,coraz,czy,dla,do,dotąd,dziś,gdy,gdyby,gdzie,i,jak,jakby,jako,jeszcze,jeśli,już,kiedy,kiedyś,ku,lecz,ledwie,może,na,nad,nawet,ni,niby,nie,niech,niegdyś,nieraz,nigdy,niż,o,od,po,pod,potem,przecież,przed,przez,przy,razem,sam,się,stąd,tak,tam,teraz,też,to,tu,tuż,tyle,tylko,tym,tymczasem,u,w,we,więc,wkoło,wnet,wszystko,wtem,wtenczas,właśnie,z,za,zaraz,ze,znowu,że,żeby
txt/ziemia-obiecana-tom-pierwszy.txt,"Władysław St. Reymont: Ziemia obiecana, tom I",106941,835,11502,5051,812,798,101,55,484,71,66,272,95,567,37,2,628,86,92,104,1039,2,1,76,18,81,3155,445,103,30,227,55,322,60,14,19,0,4,118,1667,108,105,2,110,1685,98,0,8,47,34,471,248,510,147,42,56,128,186,149,52,76,2400,4,448,75,103,11,1044,34,3,55,306,213,15,120,1874,34,53,0,1,111,0,1,38,1565,409,135,243,104,714,98
txt/krol-lear.txt,William Shakespeare: Król Lear (tłum. Leon Ulrich),30963,677,3063,1564,401,216,30,18,59,17,9,6,42,62,76,18,189,1,114,57,212,3,20,84,17,63,435,133,8,7,50,70,36,11,2,6,48,0,41,376,23,12,12,5,523,45,1,0,32,28,174,72,32,27,9,0,32,33,34,15,32,409,12,116,51,65,11,240,55,0,6,55,64,4,18,411,7,37,2,0,41,1,0,13,299,128,1,25,6,159,18
txt/wyszydzajacy.txt,Ignacy Krasicki: Bajki i przypowieści (Wyszydzający),59,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
txt/oracze-i-jowisz.txt,Ignacy Krasicki: Bajki i przypowieści (Oracze i Jowisz),80,0,10,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
txt/przyjaciele-bajki-nowe.txt,Ignacy Krasicki: Bajki nowe (Przyjaciele),294,4,31,14,1,3,0,0,4,0,1,2,0,0,0,1,1,1,0,0,1,0,0,3,0,0,10,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,11,0,0,0,0,1,3,1,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0
txt/z-chalupy-xxi-lichy-knotek-na-murku-w-izdebce.txt,Jan Kasprowicz: Z chałupy (XXI),104,2,9,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
txt/fraszki-ksiegi-trzecie-o-swych-rymiech.txt,"Jan Kochanowski: Fraszki, Księgi trzecie (O swych rymiech)",69,0,9,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
txt/kwiaty-zla-sprzecznosc.txt,Charles Baudelaire: Sprzeczność (tłum. Adam [Zofia Trzeszczkowska] M-ski),228,1,31,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
txt/fraszki-ksiegi-trzecie-epitafium-grzegorzowi-podlodowskiemu-.txt,"Jan Kochanowski: Fraszki, Księgi trzecie (Epitafium Grzegorzowi Podlodowskiemu, staroście radomskiemu)",52,0,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
txt/boska-komedia-pieklo.txt,Dante Alighieri: Piekło (tłum. Julian Korsak),36458,272,4185,1210,164,257,23,7,15,5,56,0,55,58,39,25,310,3,55,42,232,4,7,188,27,107,655,330,20,38,64,60,71,28,2,25,105,2,33,498,52,6,11,1,393,33,13,4,20,6,139,119,109,77,38,1,45,91,36,15,51,462,10,256,101,31,2,153,110,5,15,32,57,1,13,835,18,12,8,13,10,15,16,2,633,152,3,60,1,129,2
txt/moczary.txt,Henryk Zbierzchowski: Moczary,223,1,7,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
txt/korotynski-czem-chata-bogata-tem-rada-swaty.txt,"Wincenty Korotyński: Czem chata bogata, tem rada (Swaty)",173,6,16,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
txt/slowka-zbior-piosenki-zb-z-niewydanej-szopki-krakowskiej-na-rok-1908.txt,Tadeusz Boy-Żeleński: Piosenki „Zielonego Balonika” (Z niewydanej „Szopki Krakowskiej” na rok 1908),460,11,68,8,1,4,0,0,0,0,0,0,0,1,1,2,8,0,1,1,2,0,0,2,0,0,6,5,0,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,9,5,0,0,0,0,1,2,1,0,0,0,1,0,0,2,0,10,0,0,0,0,1,1,0,0,0,1,4,0,0,13,0,4,0,0,0,0,0,1,10,1,0,0,0,0,0
